name,category,subcategory,city,neighborhood,address,lat,lng,phone,website,rating,total_reviews,has_website,deep_score,priority,types,corporate_score,_tier
Global Fitness Paraguay,Gimnasio/Fitness,General,Asunción,,"Av. República Argentina 1415 Esq, Asunción 001420, Paraguay",-25.3069771,-57.58373779999999,0981 205329,https://instagram.com/global_fit_py,4.8,200,True,100,A,establishment|gym|health|point_of_interest,100,A
Golden Gym,Gimnasio/Fitness,Gimnasio,Asunción,,"Teniente Héctor Vera, Asunción 001411, Paraguay",-25.2873162,-57.5751825,0981 660116,http://www.goldengym.com.py/,4.9,211,True,80,A,establishment|gym|health|point_of_interest,100,A
Spa Masculino A Cáceres - Masajes y Sauna,Spa/Wellness,Spa,Asunción,,"Sucre 1783 -25, 2913755 57, Asunción 001408, Paraguay",-25.2914042,-57.5723197,0983 481000,http://acaceres.com.py/,4.9,216,True,80,A,beauty_salon|establishment|hair_care|health|point_of_interest|spa,100,A
Urban Spa Acquadolce,Spa/Wellness,Spa,Asunción,,"Tacuary 1334 e/ 1ra. y 2da. Proyectada, Tacuary 1334, Asunción 001103, Paraguay",-25.295013,-57.6349107,0961 281515,,4.7,309,False,100,A,beauty_salon|establishment|hair_care|health|point_of_interest|spa,95,A
Gimnasio Top Gym,Gimnasio/Fitness,Gimnasio,Asunción,,"Iturbe 691, Asunción 001101, Paraguay",-25.2862073,-57.63379390000001,(021) 490 074,,4.5,203,False,100,A,establishment|gym|health|point_of_interest,95,A
Complejo Cocodrilo (Mburucuya Fitness),Gimnasio/Fitness,General,Asunción,,"PCJP+J48, Av. Santísima Trinidad, Asunción 001521, Paraguay",-25.2684588,-57.564666,0986 106062,,4.5,269,False,100,A,establishment|gym|health|point_of_interest,95,A
Urban Spa Calle 11,Spa/Wellness,Spa,Asunción,,"Intendentes Militares 857, Asunción 1409, Paraguay",-25.28112,-57.613248,0976 968585,http://www.calle11.net/,4.5,303,True,80,A,beauty_salon|establishment|health|point_of_interest|spa,95,A
GTC - Luque,Gimnasio/Fitness,General,Luque,,"America, Luque 110917, Paraguay",-25.2631849,-57.4995014,0991 470298,https://bento.me/gtc,4.8,114,True,75,A,establishment|gym|health|point_of_interest,90,A
CZ ALTO RENDIMIENTO DEPORTIVO,Gimnasio/Fitness,General,Asunción,,"QF44+9JC mi José María, Ocara poty, Asunción 0010, Paraguay",-25.24407,-57.5434748,0982 427692,https://www.instagram.com/cz_alto_rendimiento?igsh=MWY5bnM2MWphZDc3cA%3D%3D&utm_source=qr,4.8,175,True,95,A,establishment|gym|health|point_of_interest,90,A
Gimnasio Nueva Onda El Templo,Gimnasio/Fitness,Gimnasio,Asunción,,"Brasil &, P93C+V6Q, República de Colombia, Asunción 001221, Paraguay",-25.2952906,-57.629382,(021) 450 306,https://instagram.com/nueva_onda?igshid=1fcnvhc8zz079,4.8,136,True,95,A,establishment|gym|health|point_of_interest,90,A
Lyon Gym,Gimnasio/Fitness,Gimnasio,Asunción,,"Av. Primer Presidente, Asunción 001518, Paraguay",-25.2518711,-57.57947919999999,0986 657777,,4.8,148,False,100,A,establishment|gym|health|point_of_interest,90,A
HidroBaby | Babyspa | Spa de bebés | Hidroestimulación,Spa/Wellness,Spa,Asunción,,"Del Maestro, Asunción 001408, Paraguay",-25.2935832,-57.57403309999999,0993 444000,,5.0,736,False,100,A,establishment|point_of_interest|spa,85,A
Gimnasio Forma Fisica,Gimnasio/Fitness,Gimnasio,Asunción,,"y, Senador Huey Pierce Long &, Olegario Víctor Andrade, Asunción 001411, Paraguay",-25.2928036,-57.5785172,(021) 600 874,https://m.facebook.com/gimnasioformafisica/,4.6,169,True,95,A,establishment|gym|health|point_of_interest,85,A
Carolina Zarate Spa,Spa/Wellness,Spa,Asunción,,"Mariscal Antonio Jose Sucre, Asunción 001411, Paraguay",-25.2905983,-57.5749821,0981 800788,https://www.instagram.com/carolinazaratespa/,4.8,205,True,100,A,establishment|point_of_interest|spa,85,A
Mburucuya Fitness Center,Gimnasio/Fitness,Gimnasio,Asunción,,"Dr. Hipólito Carrón esquina, Asunción 001520, Paraguay",-25.2726365,-57.56723609999999,0992 446377,https://www.instagram.com/mburucuyafitnesscenter/,4.7,112,True,95,A,establishment|gym|health|point_of_interest,85,A
Zona Fit del Paseo,Gimnasio/Fitness,General,Asunción,,"Avda. Santa Teresa entre, Av. Aviadores del Chaco y, Asunción 001410, Paraguay",-25.2848618,-57.56349830000001,0986 108875,https://zonafit.com.py/,4.6,144,True,75,A,establishment|gym|health|point_of_interest,85,A
