username,full_name,profile_url,pk,is_private,source,category,name_score,expat_signal,professional_signal,asuncion_signal,outreach_score,outreach_tier
benitez_hugojavier,Hugo Javier Benítez,https://www.instagram.com/benitez_hugojavier,10002750840,,odontospy,human,95,2,0,0,100,A
andy_agcl,Andrea Centurion,https://www.instagram.com/andy_agcl,1002043324,,odontologia3py,human,85,1,0,0,100,A
kevin_laneri,Kevin Laneri,https://www.instagram.com/kevin_laneri,10032488634,,protectiondentalcenter,human,85,1,0,0,100,A
mvictoria_ss,María Victoria Sánchez,https://www.instagram.com/mvictoria_ss,1005073498,,protectiondentalcenter,human,95,2,0,0,100,A
rosangela_oliverrodrigues,Rosangela Rodrigues Oliveira,https://www.instagram.com/rosangela_oliverrodrigues,1005445530,,protectiondentalcenter,human,95,0,2,0,100,A
natty_centu,Natty Centurión,https://www.instagram.com/natty_centu,1016220035,,protectiondentalcenter,human,85,2,0,0,100,A
soledad_caceress,Soledad Cáceres,https://www.instagram.com/soledad_caceress,1016835041,,protectiondentalcenter,human,85,2,0,0,100,A
robert_cantero,Robert Cantero,https://www.instagram.com/robert_cantero,1017337635,,protectiondentalcenter,human,85,1,0,0,100,A
dra_karlagaldioli,Karla Ursula Galdioli,https://www.instagram.com/dra_karlagaldioli,1025270271,,protectiondentalcenter,human,95,0,2,0,100,A
mary_cacer,Marisel Caceres,https://www.instagram.com/mary_cacer,1028570849,,protectiondentalcenter,human,85,1,0,0,100,A
adrianna_franco,Adriana Franco,https://www.instagram.com/adrianna_franco,1030896799,,odontologia3py,human,85,0,2,0,100,A
simly_tony,Lucy González,https://www.instagram.com/simly_tony,10320782399,,protectiondentalcenter,human,85,2,0,0,100,A
marisofia_salinas,Mariani Salinas Morán,https://www.instagram.com/marisofia_salinas,1033353668,,protectiondentalcenter,human,95,2,0,0,100,A
lissandri_centurion,Lissandri Centurión,https://www.instagram.com/lissandri_centurion,1034443786,,odontologia3py,human,85,2,2,0,100,A
jhoel_dure,Jhoel Duré,https://www.instagram.com/jhoel_dure,1042155568,,odontospy,human,85,2,0,0,100,A
guillermo_saggia,Jose Saggia,https://www.instagram.com/guillermo_saggia,1055229755,,odontospy,human,85,1,0,0,100,A
chely_leguizamon,Celia Leguizamón,https://www.instagram.com/chely_leguizamon,1056063184,,protectiondentalcenter,human,85,2,0,0,100,A
adridiaz_portillo,Adriana Diaz,https://www.instagram.com/adridiaz_portillo,1060995601,,odontologia3py,human,85,0,2,0,100,A
