username,full_name,profile_url,pk,is_private,source,category,name_score,expat_signal,professional_signal,asuncion_signal,outreach_score,outreach_tier
benitez_hugojavier,Hugo Javier Benítez,https://www.instagram.com/benitez_hugojavier,10002750840,,odontospy,human,95,2,0,0,100,A
mvictoria_ss,María Victoria Sánchez,https://www.instagram.com/mvictoria_ss,1005073498,,protectiondentalcenter,human,95,2,0,0,100,A
rosangela_oliverrodrigues,Rosangela Rodrigues Oliveira,https://www.instagram.com/rosangela_oliverrodrigues,1005445530,,protectiondentalcenter,human,95,0,2,0,100,A
dra_karlagaldioli,Karla Ursula Galdioli,https://www.instagram.com/dra_karlagaldioli,1025270271,,protectiondentalcenter,human,95,0,2,0,100,A
marisofia_salinas,Mariani Salinas Morán,https://www.instagram.com/marisofia_salinas,1033353668,,protectiondentalcenter,human,95,2,0,0,100,A
sulma_rmz,Sulma Isabel Ramírez,https://www.instagram.com/sulma_rmz,10942459343,,odontospy,human,95,2,0,0,100,A
lizamariel_mazo,Liza Mariel Mazó,https://www.instagram.com/lizamariel_mazo,1094305171,,odontologia3py,human,95,2,0,0,100,A
lau_amarilla,Laura Amarilla Arrúa,https://www.instagram.com/lau_amarilla,1108184976,,odontologia3py,human,95,2,0,0,100,A
jazzf_rios,Jazmín Ferreira Ríos,https://www.instagram.com/jazzf_rios,1110517800,,odontologia3py,human,95,2,0,0,100,A
erikamabel_baez,Erika Báez Fernández,https://www.instagram.com/erikamabel_baez,11139055020,,odontospy,human,95,2,0,0,100,A
mabel_emilce,Mabel Emilce Ortiz Velásquez,https://www.instagram.com/mabel_emilce,11467803094,,protectiondentalcenter,human,95,2,0,0,100,A
claud_velaz,Claudia Velazquez Argüello,https://www.instagram.com/claud_velaz,1149947828,,protectiondentalcenter,human,95,2,0,0,100,A
diana_cibils,Diana Gissel Cibils Cáceres,https://www.instagram.com/diana_cibils,12084462721,,protectiondentalcenter,human,95,2,0,0,100,A
sara_benitezm,Sara Benítez Mongelós,https://www.instagram.com/sara_benitezm,1226267427,,odontologia3py,human,95,2,0,0,100,A
iva_magali,Ivanna Magali González Vázquez,https://www.instagram.com/iva_magali,1251167303,,protectiondentalcenter,human,95,2,0,0,100,A
lizza_johana,Lizza Johana Quiñónez Narváez,https://www.instagram.com/lizza_johana,1270193868,,odontospy,human,95,2,0,0,100,A
marie_alvarengaf,Mariela Alvarenga Fleitas,https://www.instagram.com/marie_alvarengaf,1291030754,,protectiondentalcenter,human,95,1,0,0,100,A
mongelos_noelia,Noelia González Mongelos,https://www.instagram.com/mongelos_noelia,1294488308,,protectiondentalcenter,human,95,2,0,0,100,A
diana_pedrom,Diana Pedro Mosciaro,https://www.instagram.com/diana_pedrom,1336982915,,odontologia3py,human,95,1,2,0,100,A
solay_alarcon,Solay Alarcón Salas,https://www.instagram.com/solay_alarcon,1337013107,,protectiondentalcenter,human,95,2,0,0,100,A
flores_roci,Rocío García Flores,https://www.instagram.com/flores_roci,1340633373,,odontologia3py,human,95,2,0,0,100,A
alice_orue,Alice Belén Orué,https://www.instagram.com/alice_orue,1349086742,,odontologia3py,human,95,2,2,0,100,A
josemarti_bogadoduarte,José Marti Bogado Duarte,https://www.instagram.com/josemarti_bogadoduarte,1364388576,,odontospy,human,95,2,0,0,100,A
williams_ledezma,Willian Ledezma Martínez,https://www.instagram.com/williams_ledezma,1370183653,,protectiondentalcenter,human,95,2,0,0,100,A
alice_menb,Alice Mencia Baez,https://www.instagram.com/alice_menb,1372501225,,odontologia3py,human,95,0,2,0,100,A
claudi_colman,Claudia Elizabeth Colmán Paredes,https://www.instagram.com/claudi_colman,1377723715,,protectiondentalcenter,human,95,2,0,0,100,A
monica_samiraylen,Castillo Burgos Monica,https://www.instagram.com/monica_samiraylen,1384152277,,protectiondentalcenter,human,95,1,0,0,100,A
andrei_arguello,Andrea Belén Argüello,https://www.instagram.com/andrei_arguello,1385648608,,protectiondentalcenter,human,95,2,2,0,100,A
gonzalez_rossanaa,Rossana González Cabrera,https://www.instagram.com/gonzalez_rossanaa,1401562786,,odontospy,human,95,2,0,0,100,A
aura_maral,Aura Martínez Alegre,https://www.instagram.com/aura_maral,1405768266,,odontospy,human,95,2,0,0,100,A
daninicole_aguero,Danissa Agüero Bizama,https://www.instagram.com/daninicole_aguero,1417950873,,protectiondentalcenter,human,95,2,0,0,100,A
gris_rodriguezor,Griselda Noemi Rodriguez Ortiz,https://www.instagram.com/gris_rodriguezor,1418746160,,protectiondentalcenter,human,95,0,2,0,100,A
jackie_lchz,Jacqueline López Chávez,https://www.instagram.com/jackie_lchz,14225780367,,protectiondentalcenter,human,95,2,0,0,100,A
mariel_tallarico,Mariel Tallarico González,https://www.instagram.com/mariel_tallarico,1423470079,,protectiondentalcenter,human,95,2,0,0,100,A
yocelyn_pj,Yocelyn Pérez Jiménez,https://www.instagram.com/yocelyn_pj,1434308453,,protectiondentalcenter,human,95,2,0,0,100,A
maria_raviolo,Maria Acosta Raviolo,https://www.instagram.com/maria_raviolo,1439248786,,protectiondentalcenter,human,95,1,0,0,100,A
yamile_mereles,Karen Yamile Mereles Giménez,https://www.instagram.com/yamile_mereles,1444011768,,protectiondentalcenter,human,95,2,0,0,100,A
anne_godoy,Mara Anne Godoy,https://www.instagram.com/anne_godoy,1444057909,,protectiondentalcenter,human,95,1,0,0,100,A
nilross_mirbri,Nilda Rossana Miranda Brítez,https://www.instagram.com/nilross_mirbri,1453116433,,odontologia3py,human,95,2,0,0,100,A
asu_ramirez,María Asu Ramírez,https://www.instagram.com/asu_ramirez,1454369439,,protectiondentalcenter,human,95,2,0,2,100,A
ma_gabrielaortiz,María Gabriela Ortiz,https://www.instagram.com/ma_gabrielaortiz,146330238,,protectiondentalcenter,human,95,2,0,0,100,A
lari_gonzalezt,Larissa González Torres,https://www.instagram.com/lari_gonzalezt,1463414528,,protectiondentalcenter,human,95,2,0,0,100,A
mont_bribe,Montse Britez Benítez,https://www.instagram.com/mont_bribe,1465472162,,odontologia3py,human,95,2,0,0,100,A
laura_ortellado,Laura Victoria Ortellado Ferreira,https://www.instagram.com/laura_ortellado,1466115637,,protectiondentalcenter,human,95,1,0,0,100,A
eva_castane,Eva Castañé Cañaveras,https://www.instagram.com/eva_castane,1472967329,,protectiondentalcenter,human,95,2,0,0,100,A
ingrid_huber,Ingrid Huber Ferreira,https://www.instagram.com/ingrid_huber,1482182267,,odontospy,human,95,0,2,0,100,A
clara_damasio,Clara Nogueira Damásio,https://www.instagram.com/clara_damasio,1483323874,,protectiondentalcenter,human,95,2,0,0,100,A
adrian_alvarengask,Ronald Adrian Alvarenga,https://www.instagram.com/adrian_alvarengask,1485978443,,protectiondentalcenter,human,95,0,2,0,100,A
dra_agos,Agostina Ibañez Soto,https://www.instagram.com/dra_agos,1488742085,,odontospy,human,95,0,2,0,100,A
fatima_gissel,Fátima Gissel Benítez,https://www.instagram.com/fatima_gissel,1493682747,,protectiondentalcenter,human,95,2,0,0,100,A
alexa_judith,Alexa Judith González Cuenca,https://www.instagram.com/alexa_judith,1502101977,,odontologia3py,human,95,2,0,0,100,A
norma_soluna,Garita Gutiérrez González,https://www.instagram.com/norma_soluna,1511565306,,protectiondentalcenter,human,95,2,0,0,100,A
juana_gonzalezduarte,Juana González Duarte,https://www.instagram.com/juana_gonzalezduarte,1521882909,,odontospy,human,95,2,0,0,100,A
rocio_prietodoldan,Rocío Prieto Doldán,https://www.instagram.com/rocio_prietodoldan,1522315993,,protectiondentalcenter,human,95,2,0,0,100,A
sandrita_schneider,Sandra Sibylle Schneider,https://www.instagram.com/sandrita_schneider,1543650237,,odontologia3py,human,95,0,2,0,100,A
noelia_sandra,Sandra Noelia Ferreira Ledesma,https://www.instagram.com/noelia_sandra,1544248939,,protectiondentalcenter,human,95,0,2,0,100,A
maria_camiiloo,Maria Camilo Mary,https://www.instagram.com/maria_camiiloo,15506778559,,protectiondentalcenter,human,95,1,0,0,100,A
camila_magaliv,Camila Magalí Villalba,https://www.instagram.com/camila_magaliv,1578354192,,protectiondentalcenter,human,95,2,0,0,100,A
sony_rojas,Sonia Rojas Rodríguez,https://www.instagram.com/sony_rojas,1578414477,,protectiondentalcenter,human,95,2,0,0,100,A
mary_monag,Angie Montiel Aguero,https://www.instagram.com/mary_monag,1584187526,,protectiondentalcenter,human,95,1,0,0,100,A
drantonella_ricciardi,Antonella Ricciardi Flecha,https://www.instagram.com/drantonella_ricciardi,1607674555,,protectiondentalcenter,human,95,0,2,0,100,A
ana_claudiacostante,Ana Claudia Costante Kloster,https://www.instagram.com/ana_claudiacostante,1613479141,,protectiondentalcenter,human,95,1,0,0,100,A
sari_saracho,Sari Saracho Pérez,https://www.instagram.com/sari_saracho,1613748317,,odontologia3py,human,95,2,0,0,100,A
alicia_alvareza,Alicia Alvarez Alvarenga,https://www.instagram.com/alicia_alvareza,1621506016,,odontospy,human,95,0,2,0,100,A
maga_gini,Maga Benítez Gini,https://www.instagram.com/maga_gini,16328373309,,protectiondentalcenter,human,95,2,0,0,100,A
nelita_mendeza,Marianela Méndez De Rojas,https://www.instagram.com/nelita_mendeza,1645062521,,protectiondentalcenter,human,95,2,0,0,100,A
cynthia_cccs,Cynthia Campos Cervera Sánchez,https://www.instagram.com/cynthia_cccs,1653039264,,protectiondentalcenter,human,95,2,0,0,100,A
victoria_ruizdiaz,Victoria Ruiz Díaz Quintana,https://www.instagram.com/victoria_ruizdiaz,1655619623,,protectiondentalcenter,human,95,2,0,0,100,A
dra_lilianruiz,Lilian Ruiz Fleitas,https://www.instagram.com/dra_lilianruiz,1694593637,,protectiondentalcenter,human,95,0,2,0,100,A
lourdess_velazquez,Lourdes Velázquez Aguilar,https://www.instagram.com/lourdess_velazquez,1733344826,,odontologia3py,human,95,2,0,0,100,A
liza_rojasc,Liza Rojas Céspedes,https://www.instagram.com/liza_rojasc,17412036227,,protectiondentalcenter,human,95,2,0,0,100,A
susi_alvarenga,Susana Alvarenga Agüero,https://www.instagram.com/susi_alvarenga,1759858377,,protectiondentalcenter,human,95,2,0,0,100,A
dra_gabrielahorvath,Dra Gabriela Horvath,https://www.instagram.com/dra_gabrielahorvath,176485732,,protectiondentalcenter,human,95,0,2,0,100,A
marga_dura,Marga Durá Quiles,https://www.instagram.com/marga_dura,1806645394,,protectiondentalcenter,human,95,2,0,0,100,A
sol_roodrigues,Solange Maria Rodrigues,https://www.instagram.com/sol_roodrigues,1829135402,,protectiondentalcenter,human,95,0,2,0,100,A
silla_fixpy,Silla Fix Paraguay,https://www.instagram.com/silla_fixpy,18411557561,,odontologia3py,human,95,0,0,2,100,A
anna_emmy,Anna Emmy Ohmine,https://www.instagram.com/anna_emmy,186124816,,protectiondentalcenter,human,95,1,0,0,100,A
rodri_frachi,Rodrigo Frachi Alvariza,https://www.instagram.com/rodri_frachi,18889451168,,protectiondentalcenter,human,95,0,2,0,100,A
lisa_triana,Lisa Triana Colmán Mieres,https://www.instagram.com/lisa_triana,191091551,,odontologia3py,human,95,2,0,0,100,A
dr_trifunovic,Dr Branislav Trifunovic,https://www.instagram.com/dr_trifunovic,19125527490,,protectiondentalcenter,human,95,0,2,0,100,A
mom_servin,Monserrat Servín Battilana,https://www.instagram.com/mom_servin,1918659715,,protectiondentalcenter,human,95,2,0,0,100,A
helen_martingorena,Maria Elena Martingorena,https://www.instagram.com/helen_martingorena,1938563306,,protectiondentalcenter,human,95,0,2,0,100,A
betha_arellano,Bethania Magalí Arellano,https://www.instagram.com/betha_arellano,1982477794,,odontologia3py,human,95,2,0,0,100,A
sandra_leguli,Sandra Leguli Trevizam,https://www.instagram.com/sandra_leguli,20074247126,,protectiondentalcenter,human,95,0,2,0,100,A
belen_garciabritto,Belén García Brittos,https://www.instagram.com/belen_garciabritto,2009267033,,odontospy,human,95,2,0,0,100,A
marie_distefanodenis,Mariela Distefano Denis,https://www.instagram.com/marie_distefanodenis,2017017744,,protectiondentalcenter,human,95,1,0,0,100,A
katy_py,Katy Leguizamón Ughelli,https://www.instagram.com/katy_py,204148986,,odontologia3py,human,95,2,0,0,100,A
grover_hugo,Grover Hugo Tórrez Vargas,https://www.instagram.com/grover_hugo,2064944961,,protectiondentalcenter,human,95,2,0,0,100,A
alarcon_adrii,Adriana Guadalupe Alarcón,https://www.instagram.com/alarcon_adrii,2071038395,,protectiondentalcenter,human,95,2,2,0,100,A
alejandra_cuchita,Alejandra Andrea Opazo Salazar,https://www.instagram.com/alejandra_cuchita,2072964895,,protectiondentalcenter,human,95,0,2,0,100,A
andy_jjeong,Jeong Min Lee,https://www.instagram.com/andy_jjeong,2073817614,,protectiondentalcenter,human,95,1,0,0,100,A
jeha_schindlingv,Jehannette Schindling Villamayor,https://www.instagram.com/jeha_schindlingv,2106935523,,protectiondentalcenter,human,95,0,2,0,100,A
liza_adorno,Dra Liza Adorno,https://www.instagram.com/liza_adorno,2111001297,,protectiondentalcenter,human,95,0,2,0,100,A
gaby_rodrigueztullo,Gaby Rodriguez Tullo,https://www.instagram.com/gaby_rodrigueztullo,2115313559,,odontologia3py,human,95,0,2,0,100,A
fabilopez_py,Fabiola López Velazquez,https://www.instagram.com/fabilopez_py,21211781123,,protectiondentalcenter,human,95,2,0,0,100,A
servian_cindy,Cindy Guissel Servián,https://www.instagram.com/servian_cindy,21241453199,,protectiondentalcenter,human,95,2,0,0,100,A
patty_person,Paty Fernández Person,https://www.instagram.com/patty_person,212645808,,odontologia3py,human,95,2,0,0,100,A
elena_galeano,Elena Galeano Locutora,https://www.instagram.com/elena_galeano,2132939309,,protectiondentalcenter,human,95,1,0,0,100,A
vicuna_alicia,Alicia Vicuña Muñoz,https://www.instagram.com/vicuna_alicia,21481600236,,protectiondentalcenter,human,95,0,2,0,100,A
bego_hernandezchica,Begoña Hernández Chica,https://www.instagram.com/bego_hernandezchica,214896899,,protectiondentalcenter,human,95,2,0,0,100,A
andre_aparicioc,Andrea Aparicio Cataldi,https://www.instagram.com/andre_aparicioc,216900523,,protectiondentalcenter,human,95,0,2,0,100,A
saska_saskia,Sasenka Saskia Demeterová,https://www.instagram.com/saska_saskia,2200436528,,protectiondentalcenter,human,95,2,0,0,100,A
vivifer_ins,Viviana Fernández Insfran,https://www.instagram.com/vivifer_ins,2205487992,,protectiondentalcenter,human,95,2,0,0,100,A
baez_tania,Thania María Báez,https://www.instagram.com/baez_tania,2215604143,,odontologia3py,human,95,2,0,0,100,A
grisel_gonzalez,Grisel González Rebechini,https://www.instagram.com/grisel_gonzalez,221839600,,protectiondentalcenter,human,95,2,0,0,100,A
pao_rd,Paola Restrepo Díaz,https://www.instagram.com/pao_rd,222178208,,protectiondentalcenter,human,95,2,0,0,100,A
ysidro_burgos,Ysidro Odc Burgos,https://www.instagram.com/ysidro_burgos,2223652554,,odontospy,human,95,0,2,0,100,A
andres_dominguezpy,Andrés Domínguez Mena,https://www.instagram.com/andres_dominguezpy,2241563588,,odontologia3py,human,95,2,2,0,100,A
kimberly_gonver,Kimberly Violeta González Verdún,https://www.instagram.com/kimberly_gonver,2262150684,,protectiondentalcenter,human,95,2,0,0,100,A
pagliaronico_pa,Nicolás Paredes Pagliaro,https://www.instagram.com/pagliaronico_pa,2267683643,,odontospy,human,95,2,0,0,100,A
euge_encina,María Eugenia Encina,https://www.instagram.com/euge_encina,228220666,,protectiondentalcenter,human,95,2,0,0,100,A
jessica_corvalan,Jessica Griselda Corvalán Varela,https://www.instagram.com/jessica_corvalan,2303410175,,odontologia3py,human,95,2,0,0,100,A
casandra_kirlanova,Alisya Shlomo Samuel,https://www.instagram.com/casandra_kirlanova,2305493248,,protectiondentalcenter,human,95,0,2,0,100,A
nuria_marse,Núria Marsé Castillo,https://www.instagram.com/nuria_marse,2306867112,,protectiondentalcenter,human,95,2,0,0,100,A
nira_padron,Nira Padron Peluquera Canina,https://www.instagram.com/nira_padron,2312277714,,protectiondentalcenter,human,95,0,2,2,100,A
ro_glezgui,Rosalía Glez Guillén,https://www.instagram.com/ro_glezgui,233436826,,protectiondentalcenter,human,95,2,0,0,100,A
liz_kunz,Liz Noelia González Kunz,https://www.instagram.com/liz_kunz,2461888792,,protectiondentalcenter,human,95,2,0,0,100,A
karikari_rios,Karina Ríos Torales,https://www.instagram.com/karikari_rios,252517340,,protectiondentalcenter,human,95,2,0,0,100,A
andy_nw,Andy Nuñez Wiebe,https://www.instagram.com/andy_nw,254431588,,odontologia3py,human,95,1,0,0,100,A
andri_gustemann,Andrieli Amorim Gustemann,https://www.instagram.com/andri_gustemann,2553874910,,protectiondentalcenter,human,95,0,2,0,100,A
belen_gimenezr,María Belén Giménez Reyes,https://www.instagram.com/belen_gimenezr,258426281,,protectiondentalcenter,human,95,2,0,0,100,A
kari_are,Kari Arévalo Gallar,https://www.instagram.com/kari_are,263098489,,odontospy,human,95,2,0,0,100,A
only_memespy,Only Memes Paraguay,https://www.instagram.com/only_memespy,270095539,,odontologia3py,human,95,0,0,2,100,A
ana_lizvillanuevagomez,Ana Liz Villanueva Gomez,https://www.instagram.com/ana_lizvillanuevagomez,2714165586,,odontospy,human,95,1,0,0,100,A
sici_quevedo,Sici Quevedo León,https://www.instagram.com/sici_quevedo,282197976,,protectiondentalcenter,human,95,2,0,0,100,A
mariavictoria_valenzuelaf,María Victoria Valenzuela Flores,https://www.instagram.com/mariavictoria_valenzuelaf,290412470,,odontospy,human,95,2,0,0,100,A
chin_tol,Cynthia Toledo Ruiz Díaz,https://www.instagram.com/chin_tol,290562774,,odontologia3py,human,95,2,0,0,100,A
galeano_doldan,Osvaldo Galeano Doldán,https://www.instagram.com/galeano_doldan,294140583,,odontologia3py,human,95,2,0,0,100,A
mendieta_maria,María Mendieta Arrúa,https://www.instagram.com/mendieta_maria,294459355,,odontologia3py,human,95,2,0,0,100,A
luischacon_saxofonista,Luis Chacón Saxofonista,https://www.instagram.com/luischacon_saxofonista,29885535,,protectiondentalcenter,human,95,2,0,0,100,A
pao_gaveiro,Paola Rodríguez Aveiro,https://www.instagram.com/pao_gaveiro,300200145,,protectiondentalcenter,human,95,2,0,0,100,A
sofia_yudyth,Sofía Gutierrez Molinas,https://www.instagram.com/sofia_yudyth,3018537856,,protectiondentalcenter,human,95,2,0,0,100,A
dahia_echeverria,Dahiana Echeverria Alén,https://www.instagram.com/dahia_echeverria,3026363119,,odontospy,human,95,2,0,0,100,A
moyano_adri,Adriana Mabel Moyano,https://www.instagram.com/moyano_adri,30298239343,,protectiondentalcenter,human,95,0,2,0,100,A
genis_sil,Genis Gonzalez Meléndez,https://www.instagram.com/genis_sil,304509905,,odontologia3py,human,95,2,0,0,100,A
tati_bogarin,Tati Bogarín Rolón,https://www.instagram.com/tati_bogarin,311020525,,odontologia3py,human,95,2,0,0,100,A
marce_mallor,Marcela Alejandra Mallorquín,https://www.instagram.com/marce_mallor,3110308498,,protectiondentalcenter,human,95,2,0,0,100,A
gabi_mendezg,Gabriel Isaac Méndez Garay,https://www.instagram.com/gabi_mendezg,31140297986,,odontologia3py,human,95,2,0,0,100,A
silvia_rodrrigues,Silvia Noemi Rodriguez,https://www.instagram.com/silvia_rodrrigues,3116455805,,protectiondentalcenter,human,95,0,2,0,100,A
estilo_foreverliving,Estilo Forever Living,https://www.instagram.com/estilo_foreverliving,31722621215,,protectiondentalcenter,human,95,0,2,0,100,A
su_gimenezsosa,Susana Giménez Sosa,https://www.instagram.com/su_gimenezsosa,323056010,,protectiondentalcenter,human,95,2,0,0,100,A
felicita_elizabeth,Felicita Elizabeth Gomez Nardelli,https://www.instagram.com/felicita_elizabeth,3253984785,,protectiondentalcenter,human,95,0,2,0,100,A
liciani_cristina,Liciani Cristina Schmitt,https://www.instagram.com/liciani_cristina,3268418952,,protectiondentalcenter,human,95,0,2,0,100,A
taly_elideth,Taly Elideth Gómez García,https://www.instagram.com/taly_elideth,32728675380,,protectiondentalcenter,human,95,2,0,0,100,A
arguello_juliocesar,Julio César Arguello,https://www.instagram.com/arguello_juliocesar,3289453656,,protectiondentalcenter,human,95,2,0,0,100,A
heladeriaypasteleria_santiago,Heladería Pastelería Santiago,https://www.instagram.com/heladeriaypasteleria_santiago,33036845147,,protectiondentalcenter,human,95,2,0,0,100,A
lucip_ena,Casilda Rivarola Fernández,https://www.instagram.com/lucip_ena,33137966522,,odontospy,human,95,2,0,0,100,A
mmica_gonza,Micaela González Areco,https://www.instagram.com/mmica_gonza,3323656263,,protectiondentalcenter,human,95,2,0,0,100,A
nutri_cinthial,Cinthia López Zacarias,https://www.instagram.com/nutri_cinthial,337033621,,protectiondentalcenter,human,95,2,0,0,100,A
jorge_ferreiraf,Jorge Ferreira Figueredo,https://www.instagram.com/jorge_ferreiraf,343027072,,odontologia3py,human,95,1,0,0,100,A
derlis_calderon,Derlis Fabián González Calderón,https://www.instagram.com/derlis_calderon,34570084844,,protectiondentalcenter,human,95,2,0,0,100,A
juanan_martinez,Juan Andrés Martinez,https://www.instagram.com/juanan_martinez,346085706,,protectiondentalcenter,human,95,2,0,0,100,A
lenir_klettenberg,Lenir Cássia Klettenberg,https://www.instagram.com/lenir_klettenberg,34697116648,,protectiondentalcenter,human,95,2,0,0,100,A
celica_rondelli,Celica Beatriz Rondelli,https://www.instagram.com/celica_rondelli,3484425747,,protectiondentalcenter,human,95,0,2,0,100,A
luji_iriarte,Luján Iriarte Cálcena,https://www.instagram.com/luji_iriarte,348679409,,protectiondentalcenter,human,95,2,0,0,100,A
lic_lisacelle,Lisa Celle Peralta,https://www.instagram.com/lic_lisacelle,349638835,,protectiondentalcenter,human,95,0,2,0,100,A
carli_godoynicolicchia,Carli Godoy Nicolicchia,https://www.instagram.com/carli_godoynicolicchia,3501109930,,protectiondentalcenter,human,95,0,2,0,100,A
maria_mendezblasser,Maria Angelica Mendez,https://www.instagram.com/maria_mendezblasser,356008970,,odontologia3py,human,95,1,0,0,100,A
maria_efith,Maria Edith Maluenda Osorio,https://www.instagram.com/maria_efith,3569530831,,protectiondentalcenter,human,95,1,0,0,100,A
fati_galeano,Fátima Lourdes Galeano,https://www.instagram.com/fati_galeano,36401724472,,protectiondentalcenter,human,95,2,0,0,100,A
gloribie_alvarez,Gloribie Arelis Alvarez Capellán,https://www.instagram.com/gloribie_alvarez,3644849391,,protectiondentalcenter,human,95,2,0,0,100,A
mir_penayo,Mir Penayo Pérez,https://www.instagram.com/mir_penayo,3664728489,,protectiondentalcenter,human,95,2,0,0,100,A
