username,display_name,instagram,facebook,linkedin,twitter,tiktok,website,category,followers_approx,wellness_relevance,outreach_priority
adrianoimperador,Adriano imperador,https://www.instagram.com/adrianoimperador/,,,,,lifestyle,9600000,LOW,B
larissariquelme,Larissa Riquelme,https://www.instagram.com/larissariquelme/,https://www.facebook.com/LarissaRiquelme/,,https://x.com/lari_riquelme,,https://www.laririquelme.com/,fashion/family,5000000,MEDIUM,A
noeroa,Denisse Roa,https://www.instagram.com/denisseroaaa/,,,,"https://www.tiktok.com/@noeroa",,lifestyle/fashion,4600000,MEDIUM,A
nadiaferreira,Nadia Ferreira,https://www.instagram.com/nadiaferreira/,https://www.facebook.com/NadiaFerreiraOficial/,,,https://en.wikipedia.org/wiki/Nadia_Ferreira,fashion,3900000,HIGH,A
nutri_maga,Magali Alvarenga,https://www.instagram.com/nutri_maga/,,https://www.linkedin.com/pub/dir/Magali/Alvarenga,,https://www.tiktok.com/@nutrimaga,,health/nutrition,2700000,HIGH,A
chrisferreiranutri,Chris Ferreira,https://www.instagram.com/chrisferreiranutri/,,,,,,food/cooking,2500000,MEDIUM,B
dangsoficial,Dan Gs,https://www.instagram.com/dangsoficial/,,,,,,lifestyle,2300000,LOW,B
jigyeongpark,Ji Gyeong Park,https://www.instagram.com/jigyeongpark/,,,,,,lifestyle,2000000,LOW,B
michellelando,Michelelando,https://www.instagram.com/michellelando/,,,,"https://www.tiktok.com/@michellelando",,lifestyle,1900000,LOW,B
solecardozopy,Sole Cardozo,https://www.instagram.com/solecardozopy/,,,,"https://www.tiktok.com/@solecardozopy",,family/shows,1900000,MEDIUM,A
naraparaguaia,nara,https://www.instagram.com/naraparaguaia/,,,,,,beauty,1600000,MEDIUM,B
nicolelulichile,Nicole Moreno,https://www.instagram.com/nicolelulichile/,,,,,,fitness,1500000,HIGH,A
pamruizdiazok,Pam Ruiz Diaz,https://www.instagram.com/pamruizdiazok/,https://www.facebook.com/pame.ruizdiaztorres/,,,https://linktr.ee/pamruizdiazok,lifestyle,1500000,LOW,B
marilina_oficial,Marilina,https://www.instagram.com/marilina_oficial/,,,,"https://www.tiktok.com/@marilina_oficial",,music/lifestyle,1500000,LOW,B
laolitte8,Maria Laura Olitte,https://www.instagram.com/laolitte8/,,,,,,family,1300000,LOW,B
jessitorresm,Jessica Torres,https://www.instagram.com/jessitorresm/,,https://www.linkedin.com/pub/dir/Jessica/Torres/py-0-Paraguay,https://x.com/jessitorresm,,art/beauty,1300000,HIGH,A
fabimartinezoficial,Fabi Martinez,https://www.instagram.com/fabimartinezoficial/,,,,,,fitness,1300000,HIGH,A
emilia_aranda,Emilia Aranda,https://www.instagram.com/emilia_aranda/,,,,,,fashion/fitness,1300000,HIGH,A
verodelgado_,Vero Delgado,https://www.instagram.com/verodelgado_/,,,,,,family/photography,1200000,MEDIUM,B
ana_laura_chamorro,Ana Laura Chamorro,https://www.instagram.com/ana_laura_chamorro/,,,,,,lifestyle,1200000,MEDIUM,B
hamudytv,Mohamad Salim,https://www.instagram.com/hamudytv/,,,,,,lifestyle,1100000,LOW,B
osmar_olmedo,Osmar Olmedo,https://www.instagram.com/osmar_olmedo/,,,,,,fitness/gym,1100000,HIGH,A
ivan_torres11,Ivan Torres,https://www.instagram.com/ivan_torres11/,,,,,,family/sports,1000000,MEDIUM,B
elkoalah,ElKoalah,https://www.youtube.com/elkoalah,,,,,,food/tourism,1000000,MEDIUM,B
dallysferreira,Dallys Ferreira,https://www.instagram.com/dallysferreira/,https://www.facebook.com/dallysferreira/,,https://www.tiktok.com/@dallysferreira,,beauty/family,901000,HIGH,A
aria_dominguez,Aria Dominguez,https://www.instagram.com/aria_dominguez/,,,,,,fashion,800000,MEDIUM,B
giapereira,Gia Pereira,https://www.instagram.com/giapereira/,,,,,,lifestyle,750000,LOW,B
ana.coreana,Ana Coreana,https://www.instagram.com/ana.coreana/,,,,,,lifestyle,724000,LOW,B
ana_flores_py,Ana Flores,https://www.instagram.com/ana_flores_py/,,,,,,lifestyle,720000,LOW,B
soyeliass_,Soy Elias,https://www.instagram.com/soyeliass_/,,,,,,healthcare parody,684500,LOW,C
kari_gomez,Kari Gomez,https://www.instagram.com/kari_gomez/,,,,,,fashion,680000,MEDIUM,B
will_fretes,Will Fretes,https://www.instagram.com/will_fretes/,,,,,,lifestyle/family,602000,LOW,B
ayealfonsopy,AYE,https://www.instagram.com/ayealfonsopy/,,,,,,lifestyle,600000,LOW,B
paolamaltese,Paola Maltese,https://www.instagram.com/paolamaltese/,,,,,,fitness,574000,HIGH,A
bydrealeon,Andrea De Leon,https://www.instagram.com/bydrealeon/,,,,,,travel/lifestyle,546000,LOW,B
nati_gavilan,Nati Gavilan,https://www.instagram.com/nati_gavilan/,,,,"https://www.tiktok.com/@nati_gavilan",,fashion/humor,519700,MEDIUM,B
shuli_riquelme,Shuli Riquelme,https://www.instagram.com/shuli_riquelme/,,,,,,lifestyle,519000,LOW,B
arieldelgadilloo,Domingo Ariel,https://www.instagram.com/arieldelgadilloo/,,,,,,sports/fitness,492000,HIGH,A
cami_rodriguez,Cami Rodriguez,https://www.instagram.com/cami_rodriguez/,,,,,,lifestyle,480000,LOW,B
camirssato,Camilla Rossato,https://www.instagram.com/camirssato/,,,,"https://www.tiktok.com/@camirssato",,beauty,480000,MEDIUM,B
isa_ro19,Isa,https://www.instagram.com/isa_ro19/,,,,,,lifestyle,479000,LOW,B
mariasolcartes,Maria Sol Cartes,https://www.instagram.com/mariasolcartes/,,,,,,lifestyle,467000,LOW,B
sofia_lpz,Sofia Lopez,https://www.instagram.com/sofia_lpz/,,,,,,fashion,450000,MEDIUM,B
anaclaraferreira,Ana Clara Ferreira,https://www.instagram.com/anaclaraferreira/,,,,"https://www.tiktok.com/@anaclaraferreira",,lifestyle,450000,MEDIUM,B
paula_mendez,Paula Mendez,https://www.instagram.com/paula_mendez/,,,,,,beauty,440000,MEDIUM,B
lereynfranco1,Leryn Franco OLY,https://www.instagram.com/lereynfranco1/,,,,,,beauty/family,430000,MEDIUM,B
mariela_villalba,Mariela Villalba,https://www.instagram.com/mariela_villalba/,,,,,,lifestyle,420000,LOW,B
taniaromero,Tania Romero,https://www.instagram.com/taniaromero/,,,,,,fashion,410000,MEDIUM,B
valentinabogado,Valentina Bogado,https://www.instagram.com/valentinabogado/,,,,"https://www.tiktok.com/@valentinabogado",,fashion,410000,MEDIUM,B
benjamintorres,Benjamin Torres,https://www.instagram.com/benjamintorres/,,,,"https://www.tiktok.com/@benjamintorres",,lifestyle,400000,LOW,B
estephanierios,Stephanie Rios,https://www.instagram.com/estephanierios/,,,,"https://www.tiktok.com/@estephanierios",,food blogger,400000,MEDIUM,B
carolina_ferreira,Carolina Ferreira,https://www.instagram.com/carolina_ferreira/,,,,,,lifestyle,380000,LOW,B
milagrosvillar,Milagros Villar,https://www.instagram.com/milagrosvillar/,,,,"https://www.tiktok.com/@milagrosvillar",,lifestyle,370000,LOW,B
juli_perez,Juli Perez,https://www.instagram.com/juli_perez/,,,,,,fashion,360000,MEDIUM,B
andrufranz,Andrea Franz,https://www.instagram.com/andrufranz/,,,,,,family,351000,LOW,B
