username,platform,followers,display_name,category,location,sources
ivanmartinez,instagram,20400000,Ivan Martinez Perez,music,Paraguay,HypeAuditor
pablogavi,instagram,18900000,GABI,sports,Paraguay,HypeAuditor
adrianoimperador,instagram,9600000,Adriano imperador,lifestyle,Brazil/Paraguay,Heepsy
laurysdyva,instagram,8000000,Laurys Rodriguez,modeling,Paraguay,HypeAuditor
nadiaferreira,instagram,3900000,Nadia Ferreira Muniiz,fashion,Paraguay,HypeAuditor/TopNine
nderakoreami,instagram,3300000,Nderakoreami,memes/gaming,Paraguay,HypeAuditor/TopNine
nutri_maga,instagram,2700000,Magali Alvarenga,health/nutrition,Paraguay,HypeAuditor
chrisferreiranutri,instagram,2500000,Chris Ferreira,food/cooking,Argentina/Paraguay,HypeAuditor
dangsoficial,instagram,2300000,Dan Gs,lifestyle,Brazil/Paraguay,Heepsy
paraguayoitekp,instagram,2500000,Paraguayo ITEKP,memes,Paraguay,TopNine
miguel_almiron,instagram,1400000,Miguel Angel,sports football,Paraguay,Multiple
laolitte8,instagram,1300000,Maria Laura Olitte,family,Paraguay,HypeAuditor
steifox,instagram,1200000,Hector Steiner,tech/media,Paraguay,Heepsy
pattyorue_,instagram,1800000,Patricia,TV/Radio Host,Paraguay,Heepsy
solecardozopy,instagram,1800000,Sole Cardozo,family/shows,Paraguay,HypeAuditor/TopNine
jessitorresm,instagram,1300000,Jessica Torres,art/beauty,Paraguay,TopNine
fabimartinezoficial,instagram,1300000,Fabi Martinez,fitness,Paraguay,TopNine
hamudytv,instagram,1100000,Mohamad Salim,lifestyle,Paraguay,Heepsy
emilia_aranda,instagram,1300000,Emilia Aranda,fashion/fitness,Paraguay,UpGrow
nicolelulichile,instagram,1500000,Nicole Moreno,fitness,Chile/Paraguay,Heepsy
naraparaguaia,instagram,1600000,nara,beauty,Paraguay,Heepsy
pamruizdiazok,instagram,1500000,Pam Ruiz Diaz,lifestyle,Paraguay,Heepsy
marilina_oficial,instagram,1500000,Marilina,music/lifestyle,Paraguay,HypeAuditor
yolandapark,instagram,1600000,Yolanda Park,literature/journalism,Paraguay,HypeAuditor/Favikon
