username,platform,followers,display_name,category,location,sources
adrianoimperador,instagram,9600000,Adriano imperador,lifestyle,Brazil/Paraguay,Heepsy
larissariquelme,instagram,5000000,Larissa Riquelme,fashion/family,Paraguay,UpGrow
noeroa,tiktok,4600000,Denisse Roa,lifestyle/fashion,Paraguay,HypeAuditor
nadiaferreira,instagram,3900000,Nadia Ferreira Muniiz,fashion,Paraguay,HypeAuditor/TopNine
nutri_maga,instagram,2700000,Magali Alvarenga,health/nutrition,Paraguay,HypeAuditor
chrisferreiranutri,instagram,2500000,Chris Ferreira,food/cooking,Argentina/Paraguay,HypeAuditor
dangsoficial,instagram,2300000,Dan Gs,lifestyle,Brazil/Paraguay,Heepsy
jigyeongpark,instagram,2000000,Ji Gyeong Park,lifestyle,Paraguay,UpGrow
michellelando,tiktok,1900000,Michelelando,lifestyle,Paraguay,Hafi.pro
solecardozopy,tiktok,1900000,Sole Cardozo,family/shows,Paraguay,Hafi.pro
solecardozopy,instagram,1800000,Sole Cardozo,family/shows,Paraguay,HypeAuditor/TopNine
naraparaguaia,instagram,1600000,nara,beauty,Paraguay,Heepsy
nutrimaga,tiktok,1600000,Magali Alvarenga,health/nutrition,Paraguay,Hafi.pro
nicolelulichile,instagram,1500000,Nicole Moreno,fitness,Chile/Paraguay,Heepsy
pamruizdiazok,instagram,1500000,Pam Ruiz Diaz,lifestyle,Paraguay,Heepsy
marilina_oficial,instagram,1500000,Marilina,music/lifestyle,Paraguay,HypeAuditor
marilina_oficial,tiktok,1500000,Marilina,music/lifestyle,Paraguay,Hafi.pro
laolitte8,instagram,1300000,Maria Laura Olitte,family,Paraguay,HypeAuditor
jessitorresm,instagram,1300000,Jessica Torres,art/beauty,Paraguay,TopNine
fabimartinezoficial,instagram,1300000,Fabi Martinez,fitness,Paraguay,TopNine
emilia_aranda,instagram,1300000,Emilia Aranda,fashion/fitness,Paraguay,UpGrow
verodelgado_,instagram,1200000,Vero Delgado,family/photography,Paraguay,HypeAuditor
ana_laura_chamorro,instagram,1200000,Ana Laura Chamorro,lifestyle,Paraguay,TopNine
hamudytv,instagram,1100000,Mohamad Salim,lifestyle,Paraguay,Heepsy
osmar_olmedo,instagram,1100000,Osmar Olmedo,fitness/gym,Paraguay,UpGrow
ivan_torres11,instagram,1000000,Ivan Torres,family/sports,Paraguay,HypeAuditor
elkoalah,youtube,1000000,ElKoalah,food/tourism,Paraguay,Web
lacomadrepy,instagram,962000,D romero,lifestyle,Paraguay,HypeAuditor/TopNine
dallysferreira,instagram,901000,Dallys Ferreira,beauty/family,Paraguay,HypeAuditor/TopNine
aria_dominguez,instagram,800000,Aria Dominguez,fashion,Paraguay,UpGrow
emibaezcris,instagram,771000,Emi Baez,family/shows,Paraguay,HypeAuditor
giapereira,instagram,750000,Gia Pereira,lifestyle,Paraguay,UpGrow
ana.coreana,instagram,724000,Ana Coreana,lifestyle,Paraguay,HypeAuditor
ana_flores_py,instagram,720000,Ana Flores,lifestyle,Paraguay,UpGrow
soyeliass_,tiktok,684500,Soy Elias,healthcare parody,Paraguay,Favikon
kari_gomez,instagram,680000,Kari Gomez,fashion,Paraguay,UpGrow
will_fretes,instagram,602000,Will Fretes,lifestyle/family,Paraguay,HypeAuditor/TopNine
ayealfonsopy,instagram,600000,AYE,lifestyle,Paraguay,HypeAuditor
paolamaltese,instagram,574000,Paola Maltese,fitness,Paraguay,UpGrow
dallysferreira,tiktok,552600,Dallys Ferreira,lifestyle,Paraguay,Hafi.pro
bydrealeon,instagram,546000,Andrea De Leon,travel/lifestyle,Paraguay,HypeAuditor/TopNine
michellelando,instagram,521000,Michelelando,lifestyle,Paraguay,TopNine
nati_gavilan,tiktok,519700,Nati Gavilan,fashion/humor,Paraguay,Gleemo
shuli_riquelme,instagram,519000,Shuli Riquelme,lifestyle,Paraguay,TopNine
arieldelgadilloo,instagram,492000,Domingo Ariel,sports/fitness,Paraguay,HypeAuditor/TopNine
cami_rodriguez,instagram,480000,Cami Rodriguez,lifestyle,Paraguay,UpGrow
camirossato,tiktok,480000,Camilla Rossato,beauty,Paraguay,Gleemo
isa_ro19,instagram,479000,Isa,lifestyle,Paraguay,HypeAuditor
mariasolcartes,instagram,467000,Maria Sol Cartes,lifestyle,Paraguay,TopNine
sofia_lpz,instagram,450000,Sofia Lopez,fashion,Paraguay,UpGrow
anaclaraferreira,tiktok,450000,Ana Clara Ferreira,lifestyle,Paraguay,Gleemo
paula_mendez,instagram,440000,Paula Mendez,beauty,Paraguay,UpGrow
lereynfranco1,instagram,430000,Leryn Franco OLY,beauty/family,Paraguay,HypeAuditor
mariela_villalba,instagram,420000,Mariela Villalba,lifestyle,Paraguay,UpGrow
taniaromero,instagram,410000,Tania Romero,fashion,Paraguay,UpGrow
valentinabogado,tiktok,410000,Valentina Bogado,fashion,Paraguay,Gleemo
benjamintorres,tiktok,400000,Benjamin Torres,lifestyle,Paraguay,Gleemo
estephanierios,tiktok,400000,Stephanie Rios,food blogger,Paraguay,Gleemo
carolina_ferreira,instagram,380000,Carolina Ferreira,lifestyle,Paraguay,UpGrow
milagrosvillar,tiktok,370000,Milagros Villar,lifestyle,Paraguay,Gleemo
